ano,pais,investimento_bilhoes
2016,Global,42.56
2016,EUA,21.84
2016,China,5.65
2016,Reino Unido,3.52
2016,Brasil,0.02
2017,Global,47.73
2017,EUA,29.19
2017,China,7.76
2017,Reino Unido,1.49
2017,Brasil,0.15
2018,Global,96.36
2018,EUA,59.74
2018,China,12.21
2018,Reino Unido,2.52
2018,Brasil,0.29
2019,Global,141.8
2019,EUA,97.81
2019,China,7.7
2019,Reino Unido,2.56
2019,Brasil,0.45
2020,Global,166.99
2020,EUA,77.27
2020,China,15.52
2020,Reino Unido,4.49
2020,Brasil,0.65
2021,Global,256.6
2021,EUA,159.67
2021,China,18.35
2021,Reino Unido,6.85
2021,Brasil,0.79
2022,Global,180.59
2022,EUA,90.15
2022,China,12.59
2022,Reino Unido,6.88
2022,Brasil,1.62
2023,Global,137.75
2023,EUA,80.64
2023,China,9.42
2023,Reino Unido,5.1
2023,Brasil,0.91
2024,Global,227.3
2024,EUA,152.49
2024,China,13.16
2024,Reino Unido,5.96
2024,Brasil,0.79
2025,Global,429.66
2025,EUA,301.02
2025,China,17.18
2025,Reino Unido,10.18
2025,Brasil,1.44
